City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Dikson,RU,73.5069,80.5464,-21.33,100,99,8.1,overcast clouds
110,Algeciras,ES,36.1333,-5.4505,55.17,83,24,7.45,few clouds
111,Tucuman,AR,-26.8241,-65.2226,93.85,44,56,4.88,moderate rain
112,Tura,IN,25.5198,90.2201,62.78,32,1,3.0,clear sky
113,Jurado,CO,7.1053,-77.7641,78.35,87,99,4.43,light rain
114,Hobart,AU,-42.8794,147.3294,57.06,58,75,18.41,broken clouds
115,Westport,US,41.1415,-73.3579,46.27,51,100,3.0,overcast clouds
116,Bilibino,RU,68.0546,166.4372,-26.45,98,19,4.03,few clouds
117,Hilo,US,19.7297,-155.09,75.79,78,100,10.36,overcast clouds
118,Port Alfred,ZA,-33.5906,26.891,72.36,82,18,19.28,few clouds
119,Filingue,NE,14.3521,3.3168,85.1,14,83,4.59,broken clouds
120,Osakarovka,KZ,50.565,72.5692,31.41,84,100,19.26,overcast clouds
121,Rio Grande,BR,-32.035,-52.0986,80.71,86,100,15.39,heavy intensity rain
122,Gillette,US,44.2911,-105.5022,20.25,79,100,17.27,haze
123,Nome,US,64.5011,-165.4064,17.17,79,75,9.22,broken clouds
124,Piranhas,BR,-16.4269,-51.8222,78.76,82,14,4.72,few clouds
125,Vardo,NO,70.3705,31.1107,26.74,82,100,9.98,overcast clouds
126,Talaya,RU,61.3833,152.75,-27.35,100,100,1.25,overcast clouds
127,Maua,BR,-23.6678,-46.4614,80.37,76,61,4.36,broken clouds
128,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,58,9.57,light rain
129,Vestmannaeyjar,IS,63.4427,-20.2734,46.18,93,100,38.45,light rain
130,Georgetown,MY,5.4112,100.3354,76.95,88,20,5.75,few clouds
131,Severo-Kurilsk,RU,50.6789,156.125,23.25,85,62,7.07,broken clouds
132,Krasnoarmeysk,RU,51.0239,45.6969,27.28,85,99,19.66,overcast clouds
133,Flinders,AU,-34.5833,150.8552,70.18,92,100,8.99,light rain
134,Haapiti,PF,-17.5667,-149.8667,87.53,72,5,17.31,light rain
135,Mayenne,FR,48.3333,-0.6667,42.24,91,90,8.93,overcast clouds
136,Andenes,NO,69.3143,16.1194,33.08,100,75,11.5,heavy intensity rain
137,Vanimo,PG,-2.6741,141.3028,76.28,91,100,4.9,overcast clouds
138,Tuktoyaktuk,CA,69.4541,-133.0374,23.14,77,4,22.32,clear sky
139,Nhulunbuy,AU,-12.2333,136.7667,81.21,89,40,0.0,scattered clouds
140,Mahebourg,MU,-20.4081,57.7,81.25,84,97,13.89,overcast clouds
141,Maceio,BR,-9.6658,-35.7353,78.24,83,100,2.3,light rain
142,Paraiba Do Sul,BR,-22.1619,-43.2928,76.62,85,52,3.71,broken clouds
143,Kozova,UA,49.4354,25.1509,28.74,85,97,5.28,overcast clouds
144,Digby,CA,44.6169,-65.7655,33.58,64,85,15.26,overcast clouds
145,Geraldton,AU,-28.7667,114.6,64.81,55,0,10.36,clear sky
146,Nuuk,GL,64.1835,-51.7216,27.21,86,100,50.64,heavy snow
147,Saint George,US,37.1041,-113.5841,55.99,24,20,24.16,few clouds
148,Karrapur,IN,23.95,78.85,64.89,26,0,5.37,clear sky
149,Port Elizabeth,ZA,-33.918,25.5701,70.79,86,1,12.93,clear sky
150,Cidreira,BR,-30.1811,-50.2056,79.5,83,53,14.14,broken clouds
151,Tommot,RU,58.9564,126.2925,-22.81,99,84,2.68,broken clouds
152,Lagoa,PT,39.05,-27.9833,61.72,86,100,15.59,overcast clouds
153,Hobyo,SO,5.3505,48.5268,78.15,71,39,14.65,scattered clouds
154,Kansanshi,ZM,-12.0951,26.4273,62.19,98,100,3.96,moderate rain
155,Yigou,CN,35.8114,114.3167,41.05,30,37,2.19,scattered clouds
156,Noumea,NC,-22.2763,166.4572,80.01,99,24,4.09,few clouds
157,Abu Zabad,SD,12.35,29.25,79.45,14,4,10.42,clear sky
158,Duzce,TR,40.8389,31.1639,39.67,84,86,2.8,overcast clouds
159,Carnarvon,AU,-24.8667,113.6333,80.6,36,5,11.36,clear sky
160,Engelskirchen,DE,50.9833,7.4,39.06,56,5,4.25,clear sky
161,Chumikan,RU,54.7183,135.315,-4.18,94,93,6.22,overcast clouds
162,Fortuna,US,40.5982,-124.1573,57.47,67,75,14.97,broken clouds
163,Ayan,RU,56.45,138.1667,2.14,84,13,6.93,few clouds
164,Port Hawkesbury,CA,45.6169,-61.3485,27.91,65,74,8.01,broken clouds
165,Popondetta,PG,-8.7537,148.2534,74.53,95,100,2.13,overcast clouds
166,Neuquen,AR,-38.9516,-68.0591,77.32,12,0,12.24,clear sky
167,Srednekolymsk,RU,67.45,153.6833,-33.32,100,38,1.72,scattered clouds
168,Manama,BH,26.2154,50.5832,66.34,68,64,8.05,broken clouds
169,Santa Cruz,BO,-17.8,-63.1667,91.45,55,40,12.66,scattered clouds
170,Arraial Do Cabo,BR,-22.9661,-42.0278,78.17,78,100,19.51,overcast clouds
171,Shimoda,JP,34.6667,138.95,40.1,53,0,19.24,clear sky
172,Carauari,BR,-4.8828,-66.8958,81.72,86,92,0.54,overcast clouds
173,Jibuti,DJ,11.5,42.5,74.62,73,41,16.69,scattered clouds
174,Aktau,KZ,43.65,51.2,43.38,63,100,33.96,overcast clouds
175,Menongue,AO,-14.6585,17.691,66.07,94,100,3.94,light rain
176,Puerto Colombia,CO,10.9878,-74.9547,80.37,78,37,23.71,scattered clouds
177,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,75.69,87,100,6.04,moderate rain
178,Zahir Pir,PK,28.8124,70.524,71.37,29,100,5.32,overcast clouds
179,Jinchang,CN,38.4953,102.1739,39.54,32,94,7.78,overcast clouds
180,Campos Gerais,BR,-21.235,-45.7586,72.25,80,100,3.04,overcast clouds
181,Norman Wells,CA,65.282,-126.8329,24.01,75,61,0.87,broken clouds
182,Florianopolis,BR,-27.6146,-48.5012,82.54,88,1,1.99,clear sky
183,Kungurtug,RU,50.5994,97.5228,2.53,96,53,2.98,broken clouds
184,Chuy,UY,-33.6971,-53.4616,74.77,90,100,4.88,moderate rain
185,Portland,US,45.5234,-122.6762,56.17,72,20,4.61,few clouds
186,Yatou,CN,37.15,122.3833,28.31,50,0,6.64,clear sky
187,Hirara,JP,24.8,125.2833,69.44,63,79,19.04,broken clouds
188,Camopi,GF,3.1655,-52.3158,71.85,99,100,2.35,moderate rain
189,Codrington,AU,-38.2667,141.9667,59.95,64,100,20.94,overcast clouds
190,Samarai,PG,-10.6167,150.6667,83.25,78,100,13.51,overcast clouds
191,Farafangana,MG,-22.8167,47.8333,75.79,90,35,3.69,moderate rain
192,Shache,CN,38.4167,77.2406,46.49,28,100,6.08,overcast clouds
193,Batu,ID,-7.87,112.5283,66.74,96,89,2.35,light rain
194,Husavik,IS,66.0449,-17.3389,35.8,77,100,13.67,overcast clouds
195,Panaba,MX,21.2833,-88.2667,89.92,37,40,13.85,scattered clouds
196,Kushiro,JP,42.975,144.3747,27.95,87,64,7.38,broken clouds
197,Azul,AR,-36.777,-59.8585,77.34,41,77,4.97,broken clouds
198,Sabang,ID,5.8933,95.3214,80.87,75,70,6.15,broken clouds
199,Cockburn Town,TC,21.4612,-71.1419,76.96,69,75,19.57,broken clouds
200,Juneau,US,58.3019,-134.4197,42.85,95,100,12.66,mist
201,Ikovka,RU,55.6089,64.9375,26.2,97,100,10.18,snow
202,Saldanha,ZA,-33.0117,17.9442,65.59,92,0,7.05,clear sky
203,Ponta Do Sol,PT,32.6667,-17.1,65.07,72,8,8.88,clear sky
204,Badin,PK,24.656,68.8384,74.05,33,97,7.67,overcast clouds
205,Mettur,IN,11.8,77.8,73.31,58,100,2.62,overcast clouds
206,Pattani,TH,6.75,100.4167,81.5,96,97,2.3,overcast clouds
207,Acapulco,MX,16.8634,-99.8901,85.17,53,44,9.6,scattered clouds
208,Nyurba,RU,63.2842,118.3319,1.2,92,100,6.33,overcast clouds
209,Sobolevo,RU,54.4299,31.8996,11.73,96,23,3.56,few clouds
210,Ahipara,NZ,-35.1667,173.1667,70.56,64,33,10.36,scattered clouds
211,Palu,ID,-0.8917,119.8707,75.52,95,100,1.68,overcast clouds
212,Maracacume,BR,-2.0428,-45.9592,75.47,96,100,3.42,moderate rain
213,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,91,100,5.97,overcast clouds
214,Yantal,RU,56.8471,105.2542,18.19,94,100,8.41,overcast clouds
215,Talnakh,RU,69.4865,88.3972,-28.23,95,53,3.76,broken clouds
216,Havoysund,NO,70.9963,24.6622,32.88,82,100,18.5,overcast clouds
217,Grindavik,IS,63.8424,-22.4338,32.47,100,100,4.61,light snow
218,Lompoc,US,34.6391,-120.4579,59.41,59,40,20.71,scattered clouds
219,Chokurdakh,RU,70.6333,147.9167,-28.62,100,88,3.94,overcast clouds
220,Marienburg,PL,54.0359,19.0266,27.88,68,1,2.04,clear sky
221,Yomou,GN,7.5603,-9.2653,76.64,70,9,3.29,clear sky
222,Gornyye Klyuchi,RU,45.25,133.5,21.81,96,100,8.95,light snow
223,Chapais,CA,49.7834,-74.8492,18.77,80,100,6.17,overcast clouds
224,Namibe,AO,-15.1961,12.1522,74.32,63,100,10.63,overcast clouds
225,Puerto Montt,CL,-41.4698,-72.9447,56.23,94,100,3.44,overcast clouds
226,Kalmunai,LK,7.4167,81.8167,74.7,89,86,9.64,overcast clouds
227,Hay River,CA,60.8156,-115.7999,17.17,91,97,4.88,overcast clouds
228,Dunda,TZ,-8.1167,34.25,65.08,99,100,2.98,moderate rain
229,Fairlie,GB,55.756,-4.8556,41.85,81,12,3.89,few clouds
230,Shingu,JP,33.7333,135.9833,44.91,64,36,6.15,scattered clouds
231,Carutapera,BR,-1.195,-46.02,76.71,93,100,5.23,overcast clouds
232,Alyangula,AU,-13.8483,136.4192,82.6,81,58,9.01,broken clouds
233,Barcelos,PT,41.5388,-8.6151,50.68,71,97,5.88,overcast clouds
234,Ostroleka,PL,53.0862,21.5757,19.89,65,5,3.4,clear sky
235,Mayo,US,38.8876,-76.5119,63.01,59,0,12.66,clear sky
236,Bardiyah,LY,31.7561,25.0865,59.9,82,98,20.42,overcast clouds
237,Kruisfontein,ZA,-34.0033,24.7314,67.24,89,8,10.36,clear sky
238,Cantanhede,BR,-3.6333,-44.3767,75.04,96,99,1.12,moderate rain
239,Osmena,PH,10.5208,119.9258,80.29,82,56,14.83,broken clouds
240,The Pas,CA,53.8251,-101.2541,21.72,78,98,4.29,overcast clouds
241,Capelinha,BR,-17.6914,-42.5158,66.49,85,99,4.92,overcast clouds
242,Verkhnevilyuysk,RU,63.4453,120.3167,-11.09,98,89,4.41,overcast clouds
243,Atherton,GB,53.5237,-2.4935,41.9,74,6,4.0,clear sky
244,Jambi,ID,-1.6,103.6167,73.53,99,100,1.5,heavy intensity rain
245,Bartica,GY,6.4,-58.6167,80.92,90,96,2.91,overcast clouds
246,Coruripe,BR,-10.1256,-36.1756,77.95,84,100,8.14,overcast clouds
247,Richards Bay,ZA,-28.783,32.0377,74.26,82,94,9.69,light rain
248,Kavaratti,IN,10.5669,72.642,82.53,65,3,9.89,clear sky
249,Sarkand,KZ,45.41,79.9186,38.84,58,100,7.85,overcast clouds
250,Makakilo City,US,21.3469,-158.0858,79.12,55,0,11.5,clear sky
251,Linxia,CN,35.6003,103.2064,35.04,76,85,1.7,overcast clouds
252,Turbat,PK,26.0023,63.044,70.23,59,57,2.8,broken clouds
253,Pevek,RU,69.7008,170.3133,-26.0,100,99,3.38,overcast clouds
254,Envira,BR,-7.3,-70.2167,84.74,69,100,1.32,overcast clouds
255,Port-Gentil,GA,-0.7193,8.7815,81.41,79,94,6.76,light rain
256,Roald,NO,62.5833,6.1333,41.76,70,20,10.36,few clouds
257,Douglas,US,41.3,-96.167,44.42,96,100,13.8,mist
258,Narsaq,GL,60.9167,-46.05,26.82,91,100,13.94,light snow
259,Benbrook,US,32.6732,-97.4606,82.89,53,75,18.41,broken clouds
260,Pisco,PE,-13.7,-76.2167,77.05,69,0,20.71,clear sky
261,Hambantota,LK,6.1241,81.1185,76.89,90,78,6.33,broken clouds
